"filename", "language", "Python", "Perl", "Markdown", "Shell Script", "C++", "Makefile", "XML", "pip requirements", "Ini", "C", "Docker", "Properties", "Java", "YAML", "JSON", "CMake", "HTML", "reStructuredText", "Visual Basic", "CSS", "SCSS", "Diff", "Log", "comment", "blank", "total"
"f:\archlab_gem5\gem5\ext\softfloat\s_mul128MTo256M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 101
"f:\archlab_gem5\gem5\ext\softfloat\s_mul128To256M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 10, 72
"f:\archlab_gem5\gem5\ext\softfloat\s_mul64ByShifted32To128.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 57
"f:\archlab_gem5\gem5\ext\softfloat\s_mul64To128.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 67
"f:\archlab_gem5\gem5\ext\softfloat\s_mul64To128M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 69
"f:\archlab_gem5\gem5\ext\softfloat\s_mulAddF128.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 7, 351
"f:\archlab_gem5\gem5\ext\softfloat\s_mulAddF128M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 7, 383
"f:\archlab_gem5\gem5\ext\softfloat\s_mulAddF16.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 7, 227
"f:\archlab_gem5\gem5\ext\softfloat\s_mulAddF32.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 7, 225
"f:\archlab_gem5\gem5\ext\softfloat\s_mulAddF64.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 13, 497
"f:\archlab_gem5\gem5\ext\softfloat\s_negXM.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 9, 64
"f:\archlab_gem5\gem5\ext\softfloat\s_normExtF80SigM.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 53
"f:\archlab_gem5\gem5\ext\softfloat\s_normRoundPackMToExtF80M.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 7, 79
