Date : 2023-08-12 15:10:49
Directory : f:\archlab_gem5\gem5
Total : 8923 files,  1356429 codes, 440589 comments, 272074 blanks, all 2069092 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\IfStatementAST.py                                                                                                           | Python           |         38 |         30 |         11 |         79 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\InPortDeclAST.py                                                                                                            | Python           |         98 |         46 |         24 |        168 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\IsValidPtrExprAST.py                                                                                                        | Python           |         20 |         28 |          6 |         54 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\LiteralExprAST.py                                                                                                           | Python           |         22 |         27 |          8 |         57 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\LocalVariableAST.py                                                                                                         | Python           |         39 |         31 |          9 |         79 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\MachineAST.py                                                                                                               | Python           |         41 |         31 |         15 |         87 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\MemberExprAST.py                                                                                                            | Python           |         31 |         32 |         10 |         73 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\MethodCallExprAST.py                                                                                                        | Python           |        115 |         50 |         37 |        202 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\NewExprAST.py                                                                                                               | Python           |         16 |         26 |          7 |         49 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\ObjDeclAST.py                                                                                                               | Python           |         53 |         30 |         15 |         98 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\OodAST.py                                                                                                                   | Python           |          9 |         27 |          6 |         42 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\OperatorExprAST.py                                                                                                          | Python           |         92 |         31 |         22 |        145 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\OutPortDeclAST.py                                                                                                           | Python           |         35 |         26 |         10 |         71 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\PairAST.py                                                                                                                  | Python           |          8 |         25 |          5 |         38 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\PairListAST.py                                                                                                              | Python           |          8 |         25 |          6 |         39 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\PeekStatementAST.py                                                                                                         | Python           |         46 |         56 |         15 |        117 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\ReturnStatementAST.py                                                                                                       | Python           |         21 |         28 |         10 |         59 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\StallAndWaitStatementAST.py                                                                                                 | Python           |         15 |         31 |          7 |         53 |
| f:\archlab_gem5\gem5\src\mem\slicc\ast\StateDeclAST.py                                                                                                             | Python           |         54 |         29 |         15 |         98 |
